id,gender,age,education,is_capital,income,ideology,DemPolGrievence,PolicyPolGrievence,EUPolGrievence,EconGrievenceRetro,EconGrievenceProspInd,EconGrievenceProspAgg,NatPride,NativeRights,NativeJobs,LawOrder,Chauvinism,ChristianSchool,GayNeighbor,GayPartner,ForNeighbor,ForPartner,Ukraine,DemonstrateNational,DemonstrateTrad
58,1,63,2,0,3,3,4,4,4,4,5,5,3,4,4,3,4,4,4,4,4,4,4,0,0
59,1,68,1,0,3,3,3,3,3,4,4,4,2,3,3,3,2,3,3,3,2,2,2,0,0
60,2,36,1,0,3.0708333333333337,3,2,2,2,4,4,4,3,3,3,2,2,3,3,3,2,2,2,0,0
61,1,26,1,0,5,2,3,4,2,5,4,4,3,3,1,3,3,3,2,2,2,2,2,0,0
62,1,52,1,0,3,3,3,3,3,4,2,4,3,3,4,3,3,4,4,3,2,2,2,0,0
63,1,51,3,0,5,3,3,3,2,4,4,4,4,4,4,3,4,2,4,4,3,3,3,0,0
64,2,52,1,0,2,2.97,2,2,2,3,4,3,2,4,3,3,4,3,2,2,2,2,2,0,0
65,2,41,1,0,4,3,4,4,4,5,5,5,2,4,1,3,1,4,4,4,4,4,4,0,0
66,1,65,2,0,2,3,2,2,2,4,4,4,3,3,3,4,3,3,2,2,2,2,2,0,0
67,2,65,1,0,2,2,2,2,2,2,4,4,3,4,3,4,4,4,3,3,3,3,3,1,1
68,2,29,1,0,4,3.1,2,3,2,4,5,5,3,4,4,4,3,3,2,2,1,3,1,0,0
69,1,64,2,0,3,4,2,2,1,3,3,3,4,2,3,4,3,3,3,3,2,2,2,0,0
70,1,73,1,0,4,1,4,4,3,4,5,5,3,4,4,4,4,3,4,4,4,2,2,0,0
71,2,55,3,0,5,2,2,2,1,3,3,3,4,3,1,4,4,1,2,2,1,1,1,0,0
72,2,60,1,0,5,2,3,2,1,3,3,3,2,1,2,2,2,2,2,2,2,2,2,0,0
73,2,46,2,1,3,3,4,4,3,5,4,4,2,3,4,3,3,3,2,3,2,2,2,0,0
74,2,56,2,1,3,3,2,2,3,2,4,2,2,3,1,3,2,3,4,2,3,2,4,1,0
75,1,52,1,1,4,4,4,4,2,4,4,4,4,4,4,2,3,3,2,2,1,1,1,0,0
76,1,31,1,1,4,3,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,0,0
77,2,54,1,1,4,3,2,3,2,3,3,3,3,3,3,2,1,2,3,3,3,3,3,0,0
78,1,62,3,1,5,5,4,4,4,3,5,5,1,2,1,4,1,1,3,2,2,2,4,0,0
79,1,67,1,1,5,3,2,3,2,5,5,5,3,1,4,1,3,1,2,2,2,2,2,0,0
80,2,29,2,1,3.725,3,3,3,2,4,4,4,3,2,4,2,2,3,2,3,3,4,4,0,0
81,2,46,3,1,5,3,4,4,4,4,4,5,3,3,4,3,2,3,2,3,3,3,3,3,0
82,1,42,2,1,4,3,2,3,3,4,4,5,3,4,4,3,1,1,2,3,2,3,2,0,0
83,2,41,3,1,5,3,3,3,2,3,2,2,3,4,4,2,3,4,4,4,4,4,4,0,0
84,2,67,1,1,2,3,4,4,4,5,5,5,2,3,4,4,2,2,3,3,3,3,3,0,0
85,1,35,2,1,5,2,2,2,1,3,2,2,3,3,4,2,3,2,1,2,2,2,2,0,0
86,2,36,3,1,5,3,3,3,2,4,4,4,3,2,4,2,1,2,3,3,3,2,2,1,1
87,1,26,2,1,5,4,4,3,3,3,4,5,4,3,3,2,4,2,3,3,3,3,2,2,0
88,2,55,3,0,5,3,3,3,3,5,5,5,3,3,4,3,2,2,1,1,1,1,1,0,0
89,2,44,3,0,4.33,3,3,3,3,4,4,3,3,4,4,3,2,2,2,3,3,3,3,1,0
90,2,48,3,0,5,3,4,4,2,3,3,4,3,4,4,2,1,1,4,4,2,2,2,0,0
91,2,20,1,0,5,3.01,3,3,3,4,4,5,2,3,3,2,2,2,2,2,2,2,2,1,0
92,1,76,1,0,2,3,3,3,3,4,4,4,3,4,3,3,3,2,2,2,2,2,2,0,0
93,1,34,1,0,4,3,4,4,4,5,5,5,4,4,4,2,4,1,2,2,3,4,4,2,1
94,2,30,3,0,4,5,3,3,2,4,5,5,4,3,3,3,3,3,4,4,2,4,2,0,0
95,2,40,3,0,3,3,3,3,3,5,4,4,2,4,4,4,4,4,4,4,3,4,4,0,0
96,1,64,1,0,2,1,4,4,2,3,3,3,4,3,3,3,2,3,3,3,2,3,2,0,0
97,1,63,1,0,5,1,3,3,3,4,3,4,2,3,3,3,3,3,2,2,2,2,2,0,0
98,2,51,3,0,5,4,2,2,2,4,3,4,4,3,3,2,1,2,2,2,2,2,2,0,0
